Date time,Temperature,Relative Humidity,Wind Speed,Wind Direction,Visibility,RSSI
09-01-2019,29.6,85.76,9.2,159.21,2.2,0.91816
09-02-2019,29,87.13,17.2,96,2.3,0.7984
09-03-2019,28.2,90.94,10.3,83.63,2.2,0.63872
09-04-2019,29.1,88.44,11.4,93.79,2.2,0.81836
09-05-2019,29.1,87.48,12.8,91.75,2.5,0.81836
09-06-2019,29.4,85.63,12.8,95.96,2.3,0.87824
09-07-2019,27.9,92.52,12.8,110.5,2,0.57884
09-08-2019,27.6,94,9.2,152.13,2.1,0.51896
09-09-2019,29.6,86.56,13.9,177.5,2.3,0.91816
09-10-2019,29.3,88.86,8.1,181.54,1.9,0.85828
09-11-2019,28.4,93.06,8.1,182.38,2,0.67864
09-12-2019,27.2,92.43,13.9,155.71,1.9,0.43912
09/13/2019,28.5,90.05,15,181.46,2.2,0.6986
09/14/2019,29.6,84.74,13.9,183.79,2.2,0.91816
09/15/2019,30.4,82.55,9.2,196.92,2.4,1.07784
09/16/2019,30.2,83.47,12.8,173.58,2.2,1.03792
09/17/2019,30.2,79.55,9.2,151.17,2.5,1.03792
09/18/2019,29.2,84.86,11.4,101.96,2.3,0.83832
09/19/2019,30.2,82.21,9.2,117.92,2.4,1.03792
09/20/2019,30.1,83.94,13.9,130.13,2.3,1.01796
09/21/2019,28,87.8,11.4,141.42,2.1,0.5988
09/22/2019,28.4,87.09,10.3,107.54,2.2,0.67864
09/23/2019,28.6,88.82,11.4,99.67,2.3,0.71856
09/24/2019,26.1,93.79,12.8,120.79,2,0.21956
09/25/2019,25.1,95.24,6.9,93.29,2,0.01996
09/26/2019,25.9,92.01,7.2,101.04,1.8,0.17964
09/27/2019,26.6,91.15,6.9,113.25,2,0.31936
09/28/2019,25.7,93.34,16.1,63.54,1.9,0.13972
09/29/2019,25.4,92.99,6.9,126.5,2.1,0.07984
09/30/2019,27,87.81,10.3,185.58,2.2,0.3992
